companyName,SN,,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2
 耀傑-DR,911619,,-0.17,0.42,0.34,-57.49,-6.68,-3.02,2.3,-20.61,3.17,0.37,-1.08,0.88,-2.2,-3.13,-2.4,0.88,3.51,-0.18
泰聚亨-DR,911622,,2.13,1.35,0.64,-8.64,-5.4,-3.18,-0.69,0.4,0.86,0.77,0.84,-9.67,-4.35,-2.81,0.25,-6.53,-5.43,-4.82
同方友友-DR,911868,,,,,0.52,,0.19,,-23.15,,-17.73,,-71.93,,-9.94,,-33.47,,0.05
晨訊科-DR,912000,,,1.61,,3.56,,0.84,,1.81,,0.53,,-13.17,,-6.44,,-5.57,,-3.4
 友佳-DR,912398,,,2.47,,6.21,,3.64,,14.72,,6.52,,5.67,,2.28,,6.42,,3.95
 巨騰-DR,9136,,,2.89,,12.12,,4.3,,10.85,,4.57,,12.31,,4.72,,10.5,,4.37
 陽光能源-DR,9157,,,-4.01,,1.4,,0.59,,-5.08,,-1.65,,-10.45,,-12.78,,-76.66,,-35.16
 精熙-DR,9188,,,1.97,,2.93,,1.81,,3.55,,2.38,,1.69,,-1,,0.04,,0.78
 鈺齊-KY,9802,,8.59,6.66,3.1,1.95,1.48,0.54,2.45,7.35,5.61,4.34,1.59,5.6,4.74,3.1,1.45,6.45,3.99,3.08
 台火,9902,,0.74,0.44,0.04,0.97,1.32,-0.53,-0.67,1.07,-0.09,-0.46,-0.71,14.3,15.03,14.37,14.05,0.22,0.14,-0.28
 寶成,9904,,10.4,6.45,3.16,10.82,8.87,5.63,2.42,9.57,6.81,2.76,1.55,12.52,9.59,5.13,1.53,14.6,11.29,7.49
 大華,9905,,6.19,3.81,1.61,9.65,8.56,5.23,1.47,11.18,9.08,5.34,2.33,13.11,10.66,6.45,2.76,12.7,10.29,6.17
 欣巴巴,9906,,5.85,2.19,-1.59,5.94,4.56,6,2.1,-7.69,-5.73,-3.73,-1.51,1,-1.69,-1.28,0.25,0.68,5.41,1.57
 統一實,9907,,4.39,3.09,0.86,2.44,4.07,3.55,2.27,3.7,3.35,2.61,1.69,6.65,5.33,3.74,1.73,1.34,0.01,0.73
 大台北,9908,,5.84,2.95,0.76,6.07,5.23,2.75,1,6.55,5.67,3.52,0.86,6.14,5.16,2.48,0.67,6.6,5.78,3.24
 豐泰,9910,,26.32,17.96,6.79,34.16,25.67,16.35,7.15,29.06,21.66,13.68,6.32,23.77,18.12,11.24,4.28,18.6,13.42,7.62
