CompanyName,Q32016,Q22016,Q12016,Q42015,Q32015,Q22015,Q12015,Q42014,Q32014,Q22014,Q12014,Q42013,Q32013,Q22013,Q12013,Q42012,Q32012,Q22012,Q12012
2340 光磊,7772905 ,7524935 ,7851644 ,7715548 ,7608221 ,7414410 ,7686702 ,7566108 ,7379163 ,7208336 ,7399196 ,7260295 ,7146385 ,7029900 ,7143386 ,7121219 ,7096143 ,6994785 ,7210503 
2342 茂矽,834581 ,836206 ,861215 ,965355 ,1058547 ,1116405 ,1517836 ,1993394 ,2210845 ,2432516 ,2604016 ,2665200 ,2943917 ,3159941 ,3530237 ,3680029 ,4414395 ,4435899 ,4969198 
2344 華邦電,43840428 ,41993876 ,41431122 ,40098539 ,39474002 ,39637122 ,39976958 ,39300091 ,38095367 ,37780725 ,36500105 ,35888102 ,35927942 ,35822218 ,34299862 ,34657966 ,35230321 ,35539363 ,36016368 
2345 智邦,8292588 ,7858584 ,8485446 ,8179363 ,7801543 ,7258914 ,7627218 ,7559869 ,7103521 ,6954729 ,7350760 ,7088476 ,6864103 ,6843772 ,7391832 ,7152503 ,6966325 ,6689460 ,7379258 
2347 聯強,42410626 ,42724638 ,44668751 ,43875292 ,43289218 ,41105308 ,45787353 ,46208661 ,43261082 ,41731865 ,45807795 ,43348394 ,41992740 ,41367044 ,43894609 ,40957933 ,40403936 ,39180277 ,44113885 
2348 海悅,1124512 ,1121747 ,1119334 ,1113953 ,1113183 ,1067900 ,1112216 ,1066417 ,1108057 ,1058600 ,957542 ,714062 ,528575 ,415581 ,338378 ,17576 ,12202 ,10532 ,50829 
2349 錸德,18649034 ,18862165 ,19576755 ,20165546 ,21285113 ,21611173 ,21677499 ,22450702 ,23381694 ,23966609 ,25356516 ,26093574 ,26774983 ,27600209 ,28267450 ,29380333 ,30427814 ,30953429 ,31346493 
2351 順德,5190704 ,5023208 ,5259036 ,5108021 ,5030923 ,4771109 ,5090485 ,4950806 ,4640134 ,4363913 ,4549713 ,4385813 ,4236425 ,4070613 ,4102453 ,4063070 ,4006630 ,3903590 ,3884096 
2352 佳世達,31182961 ,30670227 ,31415690 ,31370723 ,30779688 ,29459705 ,31562488 ,31034463 ,29422958 ,27762784 ,27056117 ,23424708 ,22062469 ,21694917 ,20999498 ,20445843 ,21803771 ,23517714 ,24755219 
2353 宏,62592405 ,63900583 ,65276648 ,65855101 ,66146898 ,63185483 ,63748935 ,60629850 ,57951791 ,57069830 ,57650516 ,56251370 ,62870357 ,76731232 ,76695609 ,75032151 ,78491906 ,80278370 ,79853346 
2354 鴻準,96505719 ,89447410 ,91747657 ,90973358 ,88314527 ,83585312 ,84239692 ,82055881 ,73948259 ,70146803 ,70272234 ,69267943 ,66180267 ,65877508 ,65521710 ,61174468 ,56584575 ,53631636 ,56051101 
2355 敬鵬,15691488 ,15752754 ,16319049 ,15797411 ,15295804 ,14367796 ,15111189 ,14814750 ,14088172 ,13497707 ,14359064 ,13825910 ,13339664 ,13016940 ,13434733 ,12711027 ,12332229 ,11888333 ,12154944 
2356 英業達,59179415 ,59474926 ,63762083 ,62898849 ,62149845 ,59840262 ,65495644 ,64422790 ,61793585 ,59402983 ,64101305 ,61812188 ,59559517 ,58188543 ,59193310 ,55757196 ,55487599 ,55500542 ,56017796 
2357 華碩,179210337 ,167038842 ,174749258 ,169427946 ,169333576 ,165491428 ,175278865 ,165523063 ,148956811 ,143588370 ,145029766 ,136971484 ,129115504 ,129383220 ,136229121 ,127851194 ,120414852 ,116688223 ,120568773 
2358 廷鑫,396268 ,426860 ,440197 ,496162 ,553470 ,611378 ,651329 ,687323 ,712517 ,710819 ,706666 ,723641 ,789219 ,816680 ,852755 ,854187 ,852759 ,639683 ,644166 
2359 所羅門,4808538 ,4829026 ,4977866 ,4968946 ,4847176 ,4672423 ,4844403 ,4761237 ,4606146 ,4634230 ,4649333 ,4511321 ,4422293 ,4480084 ,4330446 ,4272690 ,4186670 ,4121671 ,4105306 
2360 致茂,10248913 ,9465575 ,9871947 ,9531296 ,9390385 ,8748336 ,9443870 ,9373088 ,8900456 ,8378568 ,8925059 ,8716561 ,8332086 ,8010969 ,8196064 ,7901443 ,7739741 ,7365311 ,8032025 
2362 藍天,43944279 ,45763053 ,47603553 ,48544723 ,49951879 ,48610967 ,50487248 ,50885248 ,47730910 ,46099654 ,48586344 ,47684706 ,44897041 ,44962900 ,44747063 ,10647285 ,8203872 ,7784741 ,8400076 
2363 矽統,6867089 ,7103910 ,7425130 ,7107487 ,6665507 ,7268493 ,8113728 ,7932178 ,7329022 ,7990989 ,7465856 ,7327255 ,7513961 ,8061741 ,7078900 ,7360586 ,8275481 ,8683288 ,9614176 
2364 倫飛,418426 ,494387 ,528877 ,554205 ,576905 ,610490 ,670103 ,730729 ,761519 ,798795 ,865586 ,920660 ,966120 ,1014942 ,1060214 ,1114997 ,1304700 ,1301918 ,1327835 
