company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
晟德,4123,"234,551","16,644","34,243","435,393","-89,314","-197,699","-91,347","477,973","15,178","131,526","24,025","67,185","30,459","-70,681","-20,785","61,391","-27,810","-44,350","-10,712"
太醫,4126,"272,552","194,345","103,851","351,306","236,738","115,147","67,955","326,989","221,074","142,326","85,301","321,896","253,357","182,445","92,558","313,468","235,360","150,947","75,155"
天良,4127,"-24,210","-4,514","4,575","49,064","51,408","45,399","29,590","61,499","46,269","30,829","16,879","49,031","43,773","34,487","12,957","37,183","30,763","31,645","11,892"
中天,4128,"-271,461","-214,978","-128,697","-275,754","-279,652","-193,083","-102,183","-215,033","-209,595","-167,098","-97,078","-158,279","-68,021","-6,852","43,872","-31,843","-51,451",539,"77,379"
聯合,4129,"111,125","121,572","82,507","133,807","108,457","68,934","17,914","81,729","55,303","37,193","27,279","21,344","24,483","33,108","17,335","35,151","29,811","31,511","19,877"
健亞,4130,"37,518","29,590","24,565","46,493","43,271","27,100","20,216","72,533","71,681","47,596","23,148","45,662","44,075","30,049","12,882","60,620","61,309","17,707","8,144"
晶宇,4131,"-18,983","-11,808","-4,936","-17,355","-16,385","-11,896","-4,641","-21,695","-19,398","-11,847","-3,522","-45,152","-34,864","-13,626","-4,414","-31,883","-22,831","-17,076","-7,791"
亞諾法,4133,"36,192","27,876","14,660","44,911","34,745","25,997",591,"65,643","42,383","25,990","13,736","72,896","60,213","44,700","24,870","76,838","60,465","42,252","27,360"
麗豐-KY,4137,"607,705","477,480","323,889","1,167,087","738,608","412,024","175,266","755,837","534,306","358,755","182,700","693,228","508,314","308,886","149,018","590,385","181,139",,
曜亞,4138,"105,957","69,711","34,804","129,538","100,533","64,466","26,830","110,358","78,063","57,896","22,880","37,729","14,702","12,335","7,714","109,321","116,460","97,574","56,873"
馬光-KY,4139,"-71,986","-51,010","-24,625","-91,483","-61,592","-40,912","-24,097","-38,207","-19,424","5,244","20,607","-48,139","-34,701","-51,601","-7,073","15,651","12,863","16,794","5,732"
龍燈-KY,4141,"324,945","367,943","289,324","-207,629","-585,976","-285,421","-419,651","424,900","253,519","244,858","75,308","344,076","58,360","-129,406","-93,518","503,883","255,328","135,003","73,744"
國光生,4142,"-409,608","-277,400","-151,268","-782,319","-444,168","-247,169","-153,303","-618,041","-387,547","-182,343","-152,158","-600,453","-417,531","-309,248","-168,095","-603,680","-423,924","-284,407","-133,986"
康聯-KY,4144,"278,892","188,644","103,640","387,683","340,782","238,682","136,555","482,353","382,350","287,428","147,670","392,504","367,671","254,165","134,564","318,729","258,774","179,153","78,461"
中裕,4147,"-174,000","-125,303","-56,015","-471,680","-360,681","-173,617","-62,238","-281,735","-201,201","-122,237","-70,937","-251,677",,"-84,445",,"-207,298",,"-74,337",
台微體,4152,"-554,546","-318,080","-166,049","-675,685","-528,524","-342,588","-150,752","-632,860","-425,415","-261,228","-129,716","-400,970","-245,305","-43,233","-6,094","-187,128","-16,338","-40,692",
鈺緯,4153,"3,026","18,979","-3,499","150,314","122,737","60,036","22,795","124,153","85,332","45,993","23,257","65,304","54,691","37,619","16,941","27,404","19,785","6,410",
康樂-KY,4154,"27,741","-2,777","8,173","-22,051","-9,086",762,"2,625","22,773","2,011","4,141","3,700","12,381","21,209","14,553","5,286","71,613","49,204","35,410","17,212"
太景*-KY,4157,"-194,152","-128,896","-94,099","-412,994","-293,518","-192,414","-84,641","-403,718","-290,120","-192,015","-60,566","-432,193","-271,859","-125,658","-45,037","-468,398",,,
創源,4160,"-1,550","-3,487",44,"-12,817","-3,343",-303,"-3,821","-24,551","-9,599","-2,386",559,"-48,904","-40,612","-25,972","-11,514","-18,934","-3,389","1,587","1,166"
聿新科,4161,"1,276",765,"-8,042","26,315","17,226","15,911","10,085","26,025","16,010","16,709","16,216","74,363","39,837","17,387","2,473","10,903","-11,564","-22,148",
